词条名,0min,30min,60min,90min,120min,150min,180min,210min,240min,270min,300min,330min,360min,390min,420min,450min,480min,510min,540min,570min,600min,630min,660min,690min,720min,750min,780min,810min,840min,870min,900min,930min,960min,990min,1020min,1050min,1080min,1110min,1140min,1170min,1200min,1230min,1260min,1290min,1320min,1350min,1380min,1410min,1440min
武汉不明原因肺炎不能断定是SARS,86885,1408913,1701067,1521933,1240471,1081805,626871,844197,654210,608380,461012,229401,158508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
解说iG是个力气活,146010,284148,263813,275059,131807,109233,79233,63263,41703,36252,34934,36122,47167,87467,154760,176163,203883,176449,166974,128895,98913,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋轶黑色水纹长裙,81427,225978,235398,336199,235956,239177,169944,140940,99012,177475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sm万圣节,130191,722359,827369,857845,719987,540885,549946,493586,450783,421962,458938,389192,397256,343609,201684,135226,97992,76700,51636,37823,29833,21216,19412,18739,21892,35220,60344,97114,,,,,,,,,,,,,,,,,,,,,
被问最多的口红色号,199140,336610,441714,321349,297808,268586,223979,331356,253185,221933,203714,201107,190492,167248,130156,85327,58026,43242,30281,23329,18480,14321,12802,11601,11658,13404,19801,,,,,,,,,,,,,,,,,,,,,,
滴滴调整顺风车试运营规则,75228,196382,221272,260367,280226,267197,274682,266924,228727,192325,165222,150735,96790,71266,52829,42653,33819,27235,25241,40028,74076,60270,70599,69183,65138,56197,45002,33806,30804,,,,,,,,,,,,,,,,,,,,
天火,65821,341358,390921,321224,202468,162091,130178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019全国网红打卡地大赏,136826,290354,124041,96772,88876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大学没谈过恋爱意味着什么,237761,302034,360524,350530,300772,240956,229733,195669,190693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
初恋到底是什么样子的,209364,202458,211172,191595,163271,124985,91271,56843,42310,29244,23835,22473,20494,17351,20693,32222,68426,74654,88634,103814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北京台春晚代言人,178286,1009150,1403276,1024553,1038839,910307,854010,686104,537512,403622,399571,377411,192476,159144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
惹女孩子生气该怎么哄,127245,329002,252546,191261,164784,110187,80688,46977,35646,30039,24558,23909,27725,36206,55483,77668,98684,99166,96109,104988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哪些食物你从来不吃,134525,234156,271033,322059,220079,177086,156130,150206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鼻子大的男生有多好看,171960,519589,471066,474100,358120,385373,369238,478747,325757,311177,326103,252730,182754,131055,97743,74605,56568,48856,40091,32472,24522,23596,25291,36585,48131,,,,,,,,,,,,,,,,,,,,,,,,
森与阳光,228036,477756,332499,329193,379174,1092067,939108,803136,628328,554082,538767,509983,635242,345312,568748,462547,423425,321243,252940,250069,219747,218708,195775,168989,133739,89877,62818,45589,32334,24699,20077,17146,15612,14097,13635,14181,18628,,,,,,,,,,,,
炎亚纶向被撞倒路人道歉,150598,2518469,2530639,2134498,1621581,1118146,748659,493418,359199,271349,215738,183252,163142,130110,118336,150014,266581,370845,494688,484834,463992,271626,245055,,,,,,,,,,,,,,,,,,,,,,,,,,
消防员李佳琦式解说消防常识,178598,157710,783678,670080,397668,229735,182259,117704,92553,79138,70450,56032,74667,110201,238097,344176,330467,316436,171242,184408,213740,362195,192977,137900,,,,,,,,,,,,,,,,,,,,,,,,,
白敬亭papi酱rap乱炖,135849,353302,318669,307388,550037,519596,489621,333755,298311,221639,282819,244327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宋茜喊粉丝兄弟,137702,261510,327789,319007,298216,240814,149685,157315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
薅羊毛UP主被B站封号,72606,1282939,1509937,1362762,1933642,1907633,2296091,2025013,755202,684295,629384,612276,543624,495610,350526,243338,164127,116848,85833,61277,44041,35687,30834,27035,27359,32286,50878,104447,158771,173560,124859,91990,76774,71148,66410,60859,59355,53148,45699,49742,71306,,,,,,,,
真情实感嗑过的CP,97428,159688,229205,277531,232199,174677,154145,136551,126714,117484,113455,107502,116865,121591,115383,102444,87684,52041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杨幂粉色羽毛礼裙,158775,1116672,1104338,958597,876379,262868,348850,403397,314369,252590,230971,211878,193147,181404,161049,138442,105461,92073,87163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
请回答1988 美食篇,134834,476218,525825,453486,332370,252805,194100,165425,122588,102892,81507,70636,48731,40814,41310,40703,36428,59618,109713,160726,186543,192588,184909,180391,177183,163533,128532,,,,,,,,,,,,,,,,,,,,,,
日军后代向杨靖宇谢罪,182806,403728,407253,344785,283725,181454,152639,105907,65862,45947,34483,26317,22195,21572,24002,31604,65156,92818,108379,146926,180670,111939,,,,,,,,,,,,,,,,,,,,,,,,,,,
70万国画快递损毁只赔300,133191,861321,843656,736157,575707,468154,400299,344967,267617,213087,179005,171726,144935,117051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全明星版野狼DISCO,119790,851866,946481,1090656,1212262,600223,484672,824166,661870,803373,658999,666381,437166,451138,842728,753964,636913,197877,133915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冰雪奇缘片尾 宝宝名单,123202,965202,1010258,832734,670931,688593,604227,1013330,286472,210624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
重庆妇联介入宇芽被家暴事件,184904,974470,1065809,2508351,2568633,2104923,1566458,628108,924463,587691,230923,170984,148948,146191,123332,109270,103844,98417,92990,87563,82136,76710,71283,65856,60429,55003,49576,44149,38722,33295,27869,22442,17015,11588,,,,,,,,,,,,,,,
狗界高考毕业生,126930,336834,315968,279073,204447,144832,97526,68650,48840,36809,31132,25600,23924,18453,19845,25854,40897,76790,103095,153683,161702,136976,118928,101974,,,,,,,,,,,,,,,,,,,,,,,,,
